广东省广州市	500	500	20	7.5	10	0.02
广东省珠三角	500	500	20	7.5	10	0.02
广东省其他	500	500	20	7.5	10	0.02
贵州	500	500	20	7.5	10	0.02
广西	500	500	20	7.5	10	0.02
云南	500	500	20	7.5	10	0.02
海南	500	500	20	7.5	10	0.02
福建	500	500	20	7.5	10	0.02
四川	500	500	20	7.5	10	0.02
重庆	500	500	20	7.5	10	0.02
新疆	500	500	20	7.5	10	0.02
西藏	500	500	20	7.5	10	0.02
青海	500	500	20	7.5	10	0.02
上海	500	500	20	7.5	10	0.02
河南	500	500	20	7.5	10	0.02
安徽	500	500	20	7.5	10	0.02
江苏	500	500	20	7.5	10	0.02
湖北	500	500	20	7.5	10	0.02
浙江	500	500	20	7.5	10	0.02
江西	500	500	20	7.5	10	0.02
湖南	500	500	20	7.5	10	0.02
陕西	500	500	20	7.5	10	0.02
宁夏	500	500	20	7.5	10	0.02
甘肃	500	500	20	7.5	10	0.02
北京	500	500	20	7.5	10	0.02
天津	500	500	20	7.5	10	0.02
河北	500	500	20	7.5	10	0.02
山东	500	500	20	7.5	10	0.02
内蒙	500	500	20	7.5	10	0.02
山西	500	500	20	7.5	10	0.02
吉林	500	500	20	7.5	10	0.02
辽宁	500	500	20	7.5	10	0.02
黑龙	500	500	20	7.5	10	0.02
